# SKYE Sentinel-AI - 10 Sep 2026 stationary capture, beacon ~1 m straight-line from the EAP770 (fw 1.3.13 at the time).
# Pipeline at capture: TX_POWER_DEFAULT -59, PATH_LOSS_EXPONENT 2.5. Positions in metres, in that date's floor frame.
# Run 1 13:16-13:17, run 2 13:22-13:23 (+08:00). Handoff v23 attributes run 2 to skye-calib-eap770-20260910-132241.log.
# person_id was not recorded in the source.
# Provenance: these positions were pasted into the claude.ai "v22" chat on 10 Sep and survive there. The raw [OMADA]
# payloads behind run 2 were deleted from backend/ between 22 and 23 Sep and are not recoverable from this file:
# per-AP RSSI (including the ~-51 dBm 1 m reading) cannot be re-derived from it.
# Recomputed 24 Sep, matches the v22/v23 precision table exactly:
#   run1     N=23 centroid (21.463,23.371) x sd 0.348 y sd 0.505 radial mean 0.557 p95 0.878 max 0.982
#   run2     N=23 centroid (21.548,22.931) x sd 0.257 y sd 0.440 radial mean 0.425 p95 0.672 max 1.337
#   combined N=46 centroid (21.505,23.151) x sd 0.305 y sd 0.518 radial mean 0.524 p95 1.051 max 1.176
run,seq,x_m,y_m
run1,1,22.2285,23.6971
run1,2,22.2044,23.3178
run1,3,21.5392,23.8827
run1,4,21.6499,23.0305
run1,5,21.9408,24.1074
run1,6,21.4708,24.3270
run1,7,21.4626,22.9612
run1,8,21.6288,23.1939
run1,9,21.1175,22.6047
run1,10,21.2755,22.4064
run1,11,21.4819,22.7355
run1,12,21.2992,23.6075
run1,13,21.7017,23.8078
run1,14,21.1846,23.2358
run1,15,21.1493,23.7397
run1,16,21.3158,23.0438
run1,17,21.1481,23.8783
run1,18,21.1328,23.6458
run1,19,21.6619,23.9783
run1,20,21.5401,23.0872
run1,21,21.5947,23.0642
run1,22,21.0055,23.0617
run1,23,20.9072,23.1138
run2,1,21.2474,23.1342
run2,2,21.3016,23.4963
run2,3,21.7120,22.6862
run2,4,22.0669,23.0730
run2,5,21.9240,22.6732
run2,6,21.6058,22.0165
run2,7,21.5836,22.6205
run2,8,22.0165,24.1839
run2,9,21.4983,22.7686
run2,10,21.4245,22.8685
run2,11,21.5316,22.5867
run2,12,21.4968,22.6102
run2,13,21.6761,22.4931
run2,14,21.4021,23.1206
run2,15,21.6373,23.1256
run2,16,21.1882,23.2028
run2,17,21.5036,22.6855
run2,18,21.8327,22.9990
run2,19,21.7172,22.7075
run2,20,21.1500,22.9838
run2,21,21.5302,22.6110
run2,22,21.3923,23.2921
run2,23,21.1654,23.4839
